pdf_id,title,committee_name,conf_date,url
418회-1차-예산·결산기금심사소위원회-2024-09-04,제22대국회 제418회 1차 예산·결산기금심사소위원회,예산·결산기금심사소위원회,2024-09-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054052&fileId=0000121200&deviceGubun=P&imsiYn=P
418회-1차-예산결산기금심사소위원회-2024-09-04,제22대국회 제418회 1차 예산결산기금심사소위원회,예산결산기금심사소위원회,2024-09-04,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054113&fileId=0000121545&deviceGubun=P&imsiYn=P
416회-6차-과학기술정보방송통신위원회-2024-08-02,제22대국회 제416회 6차 과학기술정보방송통신위원회,과학기술정보방송통신위원회,2024-08-02,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053958&fileId=0000120458&deviceGubun=P&imsiYn=P
416회-5차-대법관(노경필·박영재·이숙연)임명동의에관한인사청문특별위원회-2024-07-26,제22대국회 제416회 5차 대법관,대법관,2024-07-26,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053943&fileId=0000120344&deviceGubun=P&imsiYn=P
417회-3차-정무위원회-2024-08-29,제22대국회 제417회 3차 정무위원회,정무위원회,2024-08-29,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054026&fileId=0000121067&deviceGubun=P&imsiYn=P
417회-2차-외교통일위원회-2024-08-29,제22대국회 제417회 2차 외교통일위원회,외교통일위원회,2024-08-29,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054022&fileId=0000121059&deviceGubun=P&imsiYn=P
417회-2차-예산·결산·기금심사소위원회-2024-08-29,제22대국회 제417회 2차 예산·결산·기금심사소위원회,예산·결산·기금심사소위원회,2024-08-29,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054016&fileId=0000121018&deviceGubun=P&imsiYn=P
415회-4차-법제사법위원회-2024-06-25,제22대국회 제415회 4차 법제사법위원회,법제사법위원회,2024-06-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053878&fileId=0000119716&deviceGubun=P&imsiYn=P
415회-5차-과학기술정보방송통신위원회-2024-06-25,제22대국회 제415회 5차 과학기술정보방송통신위원회,과학기술정보방송통신위원회,2024-06-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053882&fileId=0000119755&deviceGubun=P&imsiYn=P
415회-2차-교육위원회-2024-06-25,제22대국회 제415회 2차 교육위원회,교육위원회,2024-06-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053883&fileId=0000119757&deviceGubun=P&imsiYn=P
